short_code,Colorfulness_Picture,Saturation_Picture,Contrast_Picture,Clarity_Picture,Brightness_Picture,Warm Hue_Picture,ROT_Picture,Diagonal_dominance_Picture,Physical_ver_Picture,Physical_Hor_Picture,Color_balance_vertical_Picture,Color_balance_horizontal_Picture,Texture_difference_Picture,Size_difference_Picture,Color_difference_Picture,Depth of field_hue_Picture,Depth of field_saturation_Picture,Depth of field_value_Picture
189.0,18.0,8.22,29.74,1.0,244.51,0.85,139.0,98.28784258493012,41.0,180.0,32.62,39.07,0.1425680176888471,0.1995164609053498,80.74639193842155,3.4681170292573102,0.13049248009436754,0.3607476635513886
190.0,38.0,19.24,39.41,1.0,238.96,0.97,108.16653826391968,97.58073580374356,78.0,216.0,53.92,64.91,0.16566526765792772,0.2416769547325103,118.24911194336707,0.28331950207468887,0.14044564483457164,0.8737373737374181
191.0,41.0,143.73,68.65,1.0,70.7,0.01,128.03515142334936,88.38834764831843,52.0,177.0,150.27,44.83,0.10526766965116954,0.0750034293552812,34.05055237887403,0.030027297543222423,0.7157765500306957,0.059620596205959324
193.0,25.0,51.56,76.79,0.66,57.08,0.78,87.36131867136622,42.426406871192846,156.0,96.0,137.49,70.13,0.0035603475809166674,0.2501063100137174,147.77425104038008,0.02758668134287277,1.4377445339470682,0.33158584534731367
194.0,24.0,81.22,66.93,1.0,87.24,0.18,178.0028089666003,126.39791939756373,180.5,2.0,136.71,100.68,0.00511607803960179,0.41272545779980724,79.02145509265883,0.2924901185770751,0.26692768309534726,0.045306741816605246
196.0,25.0,80.56,44.3,1.0,111.43,0.0,133.52153384379613,117.37972567696688,142.0,308.0,109.91,48.9,0.09839678584646191,0.0598559670781893,1.0622556181555287,0.06874557051736407,0.3209876543209892,0.5254901960784029
197.0,22.0,58.32,39.33,1.0,142.18,0.03,110.16805344563369,65.76093065034891,71.0,164.0,99.67,36.5,0.06637237846129115,0.10613511659807956,28.56811399709766,1.8703703703703707,0.44247787610621026,0.4181184668989376
198.0,31.0,58.09,55.78,1.0,144.04,0.19,173.4877517290486,84.8528137423857,13.0,133.0,146.12,52.45,0.06265559362362952,0.20074417009602194,6.439524375256162,0.2668561095324206,0.7551020408163287,0.6231155778894293
200.0,35.0,80.71,77.06,1.0,115.21,0.17,169.19810873647495,35.35533905932737,38.0,88.0,164.11,105.92,0.1206957354951774,0.2988065843621399,53.354758903461246,0.839178785286569,0.3308823529411773,0.5011235955056178
201.0,56.0,84.88,55.17,1.0,73.35,0.59,98.32598842625484,74.95331880577403,82.0,188.0,131.07,90.81,0.12010073190671997,0.5816015089163238,56.1523995891597,0.18156234837457583,1.0648508430609658,0.09050772626931534
202.0,56.0,86.34,61.75,1.0,95.1,0.39,47.667832153583625,22.62741699796952,61.0,93.0,140.86,118.38,0.08643998909881666,0.66267578125,42.78730295038805,7.119883040935715,0.5098257322951425,0.16893203883495184
